long,lat,Name
-81.24527822,42.98333088,Citi Plaza
-79.82855856,43.5754676,Toronto Premium Outlets
-79.82929866,43.57713602,Toronto Premium Outlets
-79.82846838,43.5765729,Toronto Premium Outlets
-79.82965834,43.57625513,Toronto Premium Outlets
-79.83016099,43.57657303,Toronto Premium Outlets
-79.82902121,43.57584717,Toronto Premium Outlets
-79.82982451,43.57451798,Toronto Premium Outlets
-79.83029985,43.57487809,Toronto Premium Outlets
-79.83120603,43.57447409,Toronto Premium Outlets
-79.83087801,43.57532794,Toronto Premium Outlets
-79.83195284,43.5751834,Toronto Premium Outlets
-79.8312048,43.57572371,Toronto Premium Outlets
-79.38079277,43.65414571,CF Toronto Eaton Centre
-79.71156266,43.55833009,Erin Mills Town Centre
-79.79411261,43.34832156,Burlington Centre
-79.43572749,43.65597898,Dufferin Mall
-79.44125161,43.66774192,Galleria Shopping Centre
-79.45230767,43.72562303,Yorkdale Shopping Centre
-79.45145251,43.6570246,Crossways Mall
-82.93538134,42.31572053,Tecumseh Mall
-83.00217917,42.27499249,Devonshire Mall
-81.27477671,42.99040637,Cherryhill Village Mall
-82.97865389,42.3043955,Central Mall
-79.33898067,43.66952415,Gerrard Square
-79.34613332,43.70565503,East York Town Centre
-79.76539954,43.23077047,Eastgate Square
-79.68670934,43.46158069,Oakville Place
-79.3521605,43.7856331,Peanut Plaza
-79.45229386,43.80683906,Promenade Mall
-79.43640361,43.85461344,Hillcrest Mall
-79.6264169,43.6028106,Central Parkway Mall
-79.60484552,43.62566712,Rockwood Mall
-79.4229126,43.7957009,Centerpoint Mall
-81.27852395,43.02579767,CF Masonville Place
-79.28757449,43.868962,CF Markville
-79.60056995,43.72047099,Woodbine Mall
-79.44718955,43.71676255,Lawrence Allen Centre
-79.38833455,43.6706934,Cumberland Terrace
-79.24411177,43.17776348,Fairview Mall
-79.22202576,43.80677692,Malvern Town Centre
-79.39848515,43.65254114,Dragon City
-79.55536868,43.63171157,Cloverdale Mall
-76.571932,44.23886648,Atrium Mall
-79.58454315,43.74166448,The Albion Centre
-79.51498194,43.75624144,Jane-Finch Mall
-79.51977486,43.7582312,Yorkgate Mall
-79.30245154,43.82394049,Splendid China Mall
-79.36698103,43.79090639,Finch & Leslie Square
-79.65348961,43.53042507,Sheridan Centre
-79.68336064,43.54395123,South Common Centre
-79.72258479,43.71558946,Bramalea City Centre
-79.55777326,43.61188855,CF Sherway Gardens
-79.73815783,43.66617397,Shoppers World Brampton
-79.73840083,43.68965385,Kennedy Square Mall
-79.08707523,43.83564072,Pickering City Centre
-79.38349958,43.84486088,Times Square
-79.38518618,43.769128,Bayview Village
-79.38823044,43.67029459,Holt Renfrew Centre
-79.39934956,43.70734973,Yonge-Eglinton Centre
-79.61120476,43.77632238,Woodbridge Mall
-79.61419368,43.63220576,信和廣場 Dixie Park Centre
-79.53825083,43.82552096,Vaughan Mills
-79.51180786,43.72186262,North York Sheridan Mall
-79.41213482,43.76868121,Empress Walk
-79.89786034,43.6485793,Georgetown Market Place
-79.87584141,43.51815753,Milton Mall
-79.22505156,43.13598688,The Pen Centre
-79.51984458,43.66180371,Humbertown Shopping Centre
-80.47313771,43.45700804,Frederick Mall
-79.46465084,43.69874919,Design Living Centre
-79.70610695,43.41311539,South Oakville Centre
-79.61844691,43.58230345,Centre City Place
-76.96415537,44.25838335,Napanee Centre Plaza
-81.22478397,42.93129448,White Oaks Mall
-79.59497312,43.59738336,Sino Mall
-79.35876576,43.81305198,The Shops on Steeles and 404
-78.67281234,43.91120818,Bowmanville Mall
-79.294093,43.80347802,Milliken Square Shopping Centre
-79.37804035,43.67160644,Greenwin Square
-80.52343026,43.46358641,The Shops at Waterloo Town Square
-80.10292274,43.9319407,Orangeville Mall
-80.31959991,43.3931205,Cambridge Centre
-79.24719863,43.01533141,Seaway Mall
-80.43897671,43.4246664,Fairview Park
-75.67688349,45.38578448,Billings Bridge Shopping Centre
-75.80625871,45.3473911,Bayshore Shopping Centre
-75.69176812,45.42535321,Rideau Centre
-75.73189221,45.3455036,Merivale Mall
-75.87785069,45.30237686,Hazeldean Mall
-75.63937968,45.42202897,St. Laurent Shopping Centre
-75.73533745,45.38694268,Westgate Mall
-77.35349332,44.16921712,Bay View Mall
-77.40136867,44.1888459,Quinte Mall
-89.23344355,48.44866815,Grandview Mall
-89.24371561,48.40378968,Intercity Shopping Centre
-89.30810827,48.3823704,Arthur Street Marketplace
-76.01539526,44.88272637,Settlers Ridge Centre
-78.91028967,43.88491119,Whitby Mall
-79.7081085,44.41315203,Georgian Mall
-79.69621461,44.38391708,Barrie By the Bay
-79.70345682,44.40056748,Bayfield Mall
-78.76005861,44.34841827,Lindsay Square
-78.33808056,44.32952219,Portage Place
-78.33180872,44.28254035,Lansdowne Place
-78.31937413,44.30419253,Peterborough Square
-80.04305562,45.35949474,Parry Sound Mall
-79.39467804,43.67168431,Yorkville Village
-76.36762386,45.42549411,Arnprior Shopping Centre
-79.38838576,43.66912703,Manulife Centre
-79.48517084,44.05630186,Upper Canada Mall
-79.71470899,43.54535016,
-74.7259371,45.01608833,Cornwall Square
-74.70938693,45.01610729,
-79.56383802,43.19371935,Village Inn Centre
-79.79527329,43.24760396,Strathbarton Mall
-75.51583819,45.47833877,Place d'Orléans
-79.70655752,44.40635245,Kozlov Centre
-80.24006827,43.17126334,Lynden Park Mall
-79.41046261,43.76272972,Yonge Sheppard Centre
-80.92023856,44.57650349,Heritage Place
-79.30115767,43.66949355,Beach Mall
-79.90892093,44.73845365,Huronia Mall
-80.23863296,43.51839567,Stone Road Mall
-81.29130294,42.94826365,Westmount Shopping Center
-80.24771751,43.54616979,Old Quebec Street
