Name,Brand,Latitude,Longitude
Esso,Esso,43.4083474,-80.3286978
Shell,Shell,43.4111697,-80.3088204
Esso,Esso,43.4594993,-80.1341465
Petro-Canada,Petro-Canada,43.4935876,-79.9919693
Shell,Shell,44.2667045,-76.4981064
Esso,Esso,44.2657636,-76.4981722
Petro-Canada,Petro-Canada,44.2655618,-76.4992509
Esso,Esso,44.2681503,-76.4794368
Canadian Tire Gas+,Canadian Tire,44.2412503,-76.5129021
Petro-Canada,Petro-Canada,44.2494324,-76.5554756
Ultramar,Ultramar,44.2502169,-76.5543699
Petro-Canada,Petro-Canada,44.2587105,-76.5594131
Northstar,Unknown,44.2649706,-76.574445
Petro-Canada,Petro-Canada,43.6447004,-79.3943053
Shell,Shell,43.6442632,-79.3949107
Petro-Canada,Petro-Canada,43.7608533,-79.4992745
Shell,Shell,45.4332265,-75.6696663
Esso,Esso,43.6759496,-79.4032127
Canadian Tire,Canadian Tire,43.6730828,-79.3875424
Petro-Canada,Petro-Canada,43.6957852,-79.5208324
Esso,Esso,43.475019,-79.700999
Esso,Esso,43.4877481,-79.7204244
Shell,Shell,43.6675387,-79.4440436
Ultramar,Ultramar,44.2419764,-76.6092188
Esso,Esso,43.2277428,-79.9373214
Shell,Shell,43.2268906,-79.9477169
Shell,Shell,43.6793882,-79.3901991
7-Eleven,7-Eleven,43.6511228,-79.4112643
Canadian Tire,Canadian Tire,43.9870373,-79.4639637
Esso,Esso,44.0110079,-79.4196887
Esso,Esso,43.6986546,-79.3861777
Shell,Shell,44.0105395,-79.4178996
Husky,Husky,43.681728,-79.467225
Petro-Canada,Petro-Canada,42.9833331,-81.2929624
Esso,Esso,43.9919899,-79.4652157
Petro-Canada,Petro-Canada,43.3115444,-79.9174224
Shell,Shell,42.3046429,-82.9808284
Esso,Esso,42.3064708,-82.9488815
Pioneer,Pioneer,42.2955714,-82.9420999
Mobil,Mobil,42.3119554,-82.9407009
Canadian Tire,Canadian Tire,42.3138735,-82.9292676
Esso,Esso,42.313802,-82.9322101
Petro-Canada,Petro-Canada,43.7900818,-79.2367453
Esso,Esso,43.7935907,-79.2378942
Petro-Canada,Petro-Canada,43.7939789,-79.2396635
Petro-Canada,Petro-Canada,43.654975,-79.4597195
Esso,Esso,43.6975851,-79.3291251
Shell,Shell,43.6974267,-79.3298547
Shell,Shell,43.7324115,-79.2687314
Eagle,Unknown,43.7319401,-79.2709512
Petro-Canada,Petro-Canada,43.7263333,-79.2968893
Esso,Esso,43.7257254,-79.3141841
Shell,Shell,43.7117461,-79.3776458
